title,genre,rating,review_num,url,img,key_words
아레스 : 라이즈 오브 가디언즈,roleplaying,4.3,23300,https://play.google.com/store/apps/details?id=com.kakaogames.ares,https://play-lh.googleusercontent.com/1VHkCAyMWaKtuVEfTkZjkEercPialcC0Z0k8laVv6L5Zfo5qvkM63EcoNH80f8jusA=w240-h480-rw,"['슈트', '그래픽', 'sf', 'pc', '재미', '아레스', '타격감', '리니지', '필드', '최적화']"
미르4,roleplaying,3.5,13100,https://play.google.com/store/apps/details?id=com.wemade.mir4,https://play-lh.googleusercontent.com/NzegsUKdYfOBaeI9ragTmo6fxoBr24LWdztWcY3k8EJr_V4fDTl8B6woI1Xhs4z1hUzk=w240-h480-rw,"['미르4', '그래픽', '미르', '채집', '토벌', '컨텐츠', '진행', '마방진', '기연', '정도']"
아키에이지 워,roleplaying,4.2,34700,https://play.google.com/store/apps/details?id=com.kakaogames.archewar,https://play-lh.googleusercontent.com/2-d_X_OKaaK8_4Dmbs3vXmFJtSNSjdDK7uN7ekJwodgEU5SW70-yvUDjc8_tJ-6KHM0=w240-h480-rw,"['리니지', '아키에이지', '오딘', '그래픽', '사냥', '작업장', '리니지2', '퀘스트', '탈것', '과금']"
에버소울,roleplaying,4.5,73000,https://play.google.com/store/apps/details?id=com.kakaogames.eversoul,https://play-lh.googleusercontent.com/u6KZiTtlGLYAKMaEi7dbwWaIlPSGRhuFJ6AQd9d39k9dyfC25QOb8QG7POwAIuPT1A=w240-h480-rw,"['영지', '에버', '스토리', '소울', '정령', '캐릭터', '컨텐츠', '모델링', '전투', '재화']"
히트2,roleplaying,3.8,13300,https://play.google.com/store/apps/details?id=com.nexon.hit2,https://play-lh.googleusercontent.com/5qH9f1jHP0W6yez4_DbqG7OUA5hw6LIe3pb56CG7xr9SX7jf8_f4WGHHHTOWSyWwT0ic=w240-h480-rw,"['히트', '리니지', '히트1', '오딘', '히트2', '그래픽', '넥슨', '리니지2', '과금', '사냥']"
천애명월도M,roleplaying,3.5,19800,https://play.google.com/store/apps/details?id=com.proximabeta.tdm.kr,https://play-lh.googleusercontent.com/QiIJkoXse0TARtUemflXAHP3KYkUIlzyj9o6IEfEuYU5F9VUyvR3BvNqxBGlnEXAv5s=w240-h480-rw,"['그래픽', '천애명월도', '무협', '스토리', '컨텐츠', '재미', '생각', '시간', '진행', '캐릭터']"
미르M,roleplaying,3.3,4740,https://play.google.com/store/apps/details?id=com.wemade.mirm,https://play-lh.googleusercontent.com/4jTmDD-lq6bZc9JHBYpGGoawqJZvKjpCOYt14nXcAAOEcXLaWzLLq8O7CWQkxiUm4fXM=w240-h480-rw,"['미르', '그래픽', '리니지', '사냥', '진행', '재미', '화신', '과금', '시간', '퀘스트']"
뮤 아크엔젤2,roleplaying,3.3,75600,https://play.google.com/store/apps/details?id=com.webzen.mua2.google,https://play-lh.googleusercontent.com/SsXlepyNh58xnIohy3nNmha5ex0sLAfDgJIo96pOtDkdnE4s69gBoszl6Tb1ZGuNnQ4d=w240-h480-rw,"['엔젤', '웹젠', '과금', '아크', '보스', '재미', '생각', '현지', '그래픽', '고대']"
V4,roleplaying,4.1,45700,https://play.google.com/store/apps/details?id=com.nexon.v4kr,https://play-lh.googleusercontent.com/0eqve3vuw_DqpLWW6u-1DPklxV-Z6Avy75hnxNxTb36w5LmT4fdYWGpC292SpFvfzHww=w240-h480-rw,"['그래픽', '넥슨', '강화', '사냥', '필드', '퀘스트', '자동', '생각', '리니지', '스킬']"
바람의나라: 연,roleplaying,2.7,7560,https://play.google.com/store/apps/details?id=com.nexon.baram,https://play-lh.googleusercontent.com/QNU2bKZ3LC56kBEqljThPNkPgi3LXMExJQFyAh7j3zguaFEyS4uH2rCvGmHgIf7NUQ=w240-h480-rw,"['나라', '도안', '사냥', '슈퍼캣', '레이드', '생각', '확률', '아이템', '도사', '모바일']"
메이플스토리M,roleplaying,4.5,166000,https://play.google.com/store/apps/details?id=com.nexon.nsc.maplem,https://play-lh.googleusercontent.com/m8HLufg1vrrras6gG5vuMEHaNgdLQvl8gVaYZ5rD87pMZwoy-r-MmT6BSGhSCtDVsRE=w240-h480-rw,"['메이플', '메소', '메이플스토리', '포스', 'pc', '사냥', '퀘스트', '캐릭터', '컴메', '모바일']"
그랑사가,roleplaying,3.9,69300,https://play.google.com/store/apps/details?id=com.npixel.GranSaga,https://play-lh.googleusercontent.com/OE_vfq4Qdo3BtOHBmHsYT71VrrBnuCgGCeO_LHE2Oum2o9liIykIU2F0GfHUL_0XV98=w240-h480-rw,"['그랑', '그랑웨폰', 'ssr', '캐릭터', '스토리', '퀘스트', '웨폰', '진행', '그래픽', '생각']"
오딘: 발할라 라이징,roleplaying,4.4,180000,https://play.google.com/store/apps/details?id=com.kakaogames.odin,https://play-lh.googleusercontent.com/Vp2SoryMyx4j8nscYRusCtksEuNWcIwbBkBwzZ8ObajeKnzknn25rj436TVAiQ373ZBE=w240-h480-rw,"['오딘', '그래픽', '리니지', '과금', '강화', '정도', '사냥', '대기', '보스', '시간']"
엘더스크롤:블레이드,roleplaying,2.8,642,https://play.google.com/store/apps/details?id=com.zenimax.bladeskakaonew,https://play-lh.googleusercontent.com/UyZYpjnDOSl7GogtbPUld-g36d0fBNa3zDiP1WEjkuuK_iVmME8G-RcinuJnszphoKGG=w240-h480-rw,"['엘더스크롤', '번역', '가로', '세로', '스카이', '통신', '퀘스트', '오크', '자유도', '던전']"
가디언 테일즈,roleplaying,4.1,85300,https://play.google.com/store/apps/details?id=com.kakaogames.gdtskr,https://play-lh.googleusercontent.com/_ie4f3ToqWLFVKn6CFob2AExattYcsGyfKY1_O3V6Pns3cdM-ivdLqFTBhhJlgzAMNQ=w240-h480-rw,"['스토리', '가테', '패러디', '가디언', '도트', '캐릭터', '퍼즐', '테일즈', '컨텐츠', '정도']"
달빛조각사,roleplaying,4,86100,https://play.google.com/store/apps/details?id=com.kakaogames.moonlight,https://play-lh.googleusercontent.com/yhbEVW8vgNmsvJ01XORotWJTABhIbB2t9W6hOmzp0N-UID2GlfcP9GGG_kV04aY7RJkP=w240-h480-rw,"['달빛조각사', '퀘스트', '원작', '사냥', '소설', '거래소', '몬스터', '자동', '기대', '서버']"
프린세스 커넥트! Re:Dive,roleplaying,4.5,27600,https://play.google.com/store/apps/details?id=com.kakaogames.pcr,https://play-lh.googleusercontent.com/iE0uWE0kAW3fi7PZXpBFvcRnhvIdSxaUSpmtKFFIl7xUic_y9O-kyHVt1zNkD86HQMQa=w240-h480-rw,"['애니메이션', '쥬얼', '캐릭터', '가챠', '스토리', '보이스', '정도', '프리코', '협동', '아레나']"
헬로히어로: 에픽배틀,roleplaying,4.2,30700,https://play.google.com/store/apps/details?id=com.fincon.hh2,https://play-lh.googleusercontent.com/wuz0CGe6EeTtEnEV8OlZNHaTYI47YDzawWte0ofP-VFJgIEH8I09VRL85ftCicnN_TM=w240-h480-rw,"['히어로', '헬히', '영정', '캐럿', '헬로', '영웅', '정지', '영구', '서버', '시작']"
그랜드체이스,roleplaying,4.2,26900,https://play.google.com/store/apps/details?id=com.kakaogames.grdchase,https://play-lh.googleusercontent.com/awbOr01gD7uS6XE5wS5kVKpKODVE5DK5gbxpHk9ckUF7bWUJfAvLtxhCO8NJvu-SEDQ=w240-h480-rw,"['히어로', '헬로', '재미', '영웅', '폭군', '캐릭터', '시간', '그래픽', '모험', '킬링타임']"
열혈강호,roleplaying,3.6,8700,https://play.google.com/store/apps/details?id=com.longtukorea.yulgang,https://play-lh.googleusercontent.com/-hKY9YdjPvqprmWYazRijARTIP9FO_mhl_cdxINmNdpLL8Y6qySQ56z47L93rKRmm6w=w240-h480-rw,"['그랜드체이스', '그체', '캐릭터', 'ss', '체이서', '스토리', '생각', '이벤트', 'pc', '영웅']"
여명,roleplaying,3.3,57600,https://play.google.com/store/apps/details?id=com.kakaogames.lmzgplay,https://play-lh.googleusercontent.com/91e6CQkTUpxuSykYkSZ82PmaxOx_IvaCaqKwv_wI4Ghf1Jf_GwEAWQn_p46dw5C7PWXQ=w240-h480-rw,"['열혈강호', '금화', '열강', '그래픽', '캐릭터', '케릭', '컨트롤', '카카오페이지', '재미', '압축']"
촉산,roleplaying,3.4,89600,https://play.google.com/store/apps/details?id=com.linekong.sszj.krgp,https://play-lh.googleusercontent.com/8LbPr5vv11KDVJFfcjsOppiuv8xeNLS4OzTxp-H-SP337sjdwNWWa7w4rnhe47x9qik=w240-h480-rw,"['여명', '정리', '갱신', '네트워크', '다운', '다운로드', '와이파이', '시간', '카카오페이지', '내용']"
검과마법,roleplaying,3.9,16000,https://play.google.com/store/apps/details?id=com.longtukorea.snmg,https://play-lh.googleusercontent.com/NRVJlem8PtIIR61f6G20T_20fCr8qt3UNcOudtfXde1wX-RjXrKO3AofMadaF5TbZQ=w240-h480-rw,"['초코', '점핑', '탈퇴', 'agreement', '로그인', '메밀', '쵸코', '원보', '이모티콘', 'page']"
