game_name,keywords
./DF\AIGames.DSFMK.csv,"['선수', '축구', '재미', '감독', 'fm', '시간', '재밋네', '나름', '영입', '전술']"
./DF\cjenm.ModooMarbleKakao.csv,"['행템', '모마', '마블', '주사위', '유저', '아이템', '캐릭터', '행운', '카드', '확률']"
./DF\cjenm.monster.csv,"['신장', '유저', '업데이트', '대륙', '몬스터', '캐릭터', '복귀', '옛날', '초월', '미나']"
./DF\cjenm.sknights.csv,"['세븐나이츠', '리부트', '대장간', '유저', '신화', '복귀', '각성', '영웅', '업데이트', '생각']"
./DF\Danalgames.CobFighter.csv,"['오락실', '추억', '베이비', '파이터', '재미', '옛날', '실행', '오랜만', '스트레스', '컴온']"
./DF\dddgame.sd3.csv,"['장수', '삼국지', '디펜스', '나팔', '루비', '군웅', '마음의소리', '도감', '소탕', '업데이트']"
./DF\fincon.hh.csv,"['히어로', '헬히', '영정', '캐럿', '유저', '헬로', '접속', '영웅', '정지', '영구']"
./DF\fincon.hh2.csv,"['히어로', '헬로', '재미', '영웅', '폭군', '캐릭터', '시간', '그래픽', '모험', '킬링타임']"
./DF\fingertips.kof98umol.csv,"['자질', '격투', '접속', '업데이트', '대전', '킹오파', '서버', '다이아', '현지', '유저']"
./DF\flerogames.ES.csv,"['통신', '하트', '상태', '에브리타운', '접속', '재미', '퍼즐', '캐릭터', '시간', '종료']"
./DF\ftt.hero_gl_4kakao.csv,"['영웅', '초코', '업데이트', '화면', '환생', '바하무트', '실행', '접속', '복귀', '주년']"
./DF\funnypack.rfkakao.csv,"['낚시', '물고기', '바다', '어부', '수족관', '라이벌', '피싱', '손맛', '접속', '장비']"
./DF\gamevil.psrforkakao.csv,"['유저', '퍼스트', '별되', '업데이트', '복귀', '퍼임', '인피니티', '신위', '동료', '캐릭터']"
./DF\grampus.cookingadventureforkakao.csv,"['광고', '럭키', '업데이트', '레스토랑', '식당', '음식', '요리', '마리셰', '음식점', '다이아']"
./DF\joymax.candypang2.csv,"['시간', '캔디팡', '하트', '업데이트', '재미', '챔피언스리그', '리그', '중독', '스테이지', '아이템']"
./DF\joymax.gostop.csv,"['올인', '상대방', '보너스', '상대', '뒷패', '오링', '조작', '사람', '스트레스', '현지']"
./DF\kakaogames.archewar.csv,"['리니지', '아키에이지', '오딘', '그래픽', '사냥', '작업장', '리니지2', '퀘스트', '접속', '탈것']"
./DF\kakaogames.ares.csv,"['슈트', '발열', '그래픽', 'sf', 'pc', '재미', '아레스', '타격감', '리니지', '필드']"
./DF\kakaogames.eversoul.csv,"['영지', '에버', '스토리', '소울', '캐릭터', '정령', '버그', '컨텐츠', '플레이', '모델링']"
./DF\kakaogames.friendsKing.csv,"['팝콘', '프렌즈', '광고', '아이템', '하트', '레벨', '업데이트', '오류', '신비', '이벤트']"
./DF\kakaogames.friendsScpuzzle.csv,"['오류', '하트', '사천성', '인터넷', '접속', '시간', '광고', '아이템', '화면', '짜증']"
./DF\kakaogames.friendsTower.csv,"['하트', '홀리데이', '난이도', '프렌즈', '스테이지', '타워', '아이템', '연회', 'vip', '업데이트']"
./DF\kakaogames.friendsTown.csv,"['타운', '프렌즈', '퍼즐', '스테이지', '하트', '난이도', '큐브', '아이템', '블럭', '클리어']"
./DF\kakaogames.gdtskr.csv,"['스토리', '가테', '패러디', '가디언', '도트', '캐릭터', '퍼즐', '테일즈', '플레이', '컨텐츠']"
./DF\kakaogames.grdchase.csv,"['그랜드체이스', '그체', '캐릭터', 'ss', '체이서', '유저', '업데이트', '플레이', '스토리', '생각']"
./DF\kakaogames.hellobt21.csv,"['bt', '아미', '캐릭터', '츄러스', '이모티콘', '방탄', '스토리', '난이도', '퍼즐', '스테이지']"
